entry_time,exit_time,side,entry_price,exit_price,hold_time,pnl_pct,pnl_dollars,balance,exit_reason
2025-08-03 12:45:00,2025-08-03 13:45:00,LONG,113985.5,113760.9,12,-0.011881704251856801,-50.67046107471263,8478.486636366784,stop_loss
2025-08-03 14:15:00,2025-08-03 17:00:00,SHORT,113747.2,113977.2,33,-0.012088111179879592,-51.24444454876252,8427.242191818023,stop_loss
2025-08-03 22:05:00,2025-08-03 23:15:00,SHORT,114181.3,114447.9,14,-0.013339532830682127,-56.20773694493306,8371.03445487309,stop_loss
2025-08-04 00:35:00,2025-08-04 00:50:00,LONG,114393.9,114838.5,3,0.011546283499382602,48.3271684995322,8419.361623372622,take_profit
2025-08-04 11:55:00,2025-08-04 13:20:00,LONG,114453.3,114232.3,17,-0.011723674197249009,-49.35292631062107,8370.008697062001,stop_loss
2025-08-04 13:40:00,2025-08-04 14:00:00,LONG,114739.1,115189.7,4,0.01170868169612595,49.00088381385243,8419.009580875854,take_profit
2025-08-04 16:05:00,2025-08-04 16:55:00,LONG,115018.5,115252.0,10,0.004120432799940879,17.344981610028693,8436.354562485883,trailing_stop
2025-08-04 20:55:00,2025-08-04 21:10:00,SHORT,114760.5,114992.6,3,-0.012089891556764073,-50.99730589743307,8385.35725658845,stop_loss
2025-08-04 23:50:00,2025-08-05 02:10:00,SHORT,115076.8,114617.9,28,0.011951086578702527,50.10706528342003,8435.46432187187,take_profit
2025-08-05 05:40:00,2025-08-05 06:15:00,SHORT,114203.4,114459.2,7,-0.012959453046056524,-54.65950190049177,8380.804819971378,stop_loss
2025-08-05 06:40:00,2025-08-05 07:35:00,SHORT,114279.4,113836.8,11,0.011491855925039554,48.15550076349407,8428.960320734872,take_profit
2025-08-05 08:30:00,2025-08-05 08:45:00,LONG,114440.2,114198.3,3,-0.01245507085796754,-52.49164902687481,8376.468671707997,stop_loss
2025-08-05 12:20:00,2025-08-05 12:35:00,SHORT,114440.4,113642.6,3,0.023885257304238308,100.03705476231839,8476.505726470315,take_profit
2025-08-05 21:50:00,2025-08-05 22:20:00,SHORT,113568.2,113787.9,6,-0.011738081610873363,-49.74895799617198,8426.756768474144,stop_loss
2025-08-06 00:30:00,2025-08-06 03:25:00,SHORT,113837.3,113396.9,35,0.011474716986436212,48.34732451588829,8475.104092990032,take_profit
2025-08-06 05:05:00,2025-08-06 05:35:00,LONG,113787.9,114366.6,6,0.016343112053215206,69.25478792719946,8544.35888091723,take_profit
2025-08-06 09:15:00,2025-08-06 09:35:00,LONG,114186.9,113918.5,4,-0.013402129316059695,-57.25630132243791,8487.102579594793,stop_loss
2025-08-06 13:50:00,2025-08-06 14:20:00,LONG,114227.2,113922.8,6,-0.01465945764231266,-62.20816038576619,8424.894419209028,stop_loss
2025-08-07 01:20:00,2025-08-07 01:50:00,LONG,115023.8,114774.5,6,-0.012669510136163225,-53.36964262013688,8371.52477658889,stop_loss
2025-08-07 05:45:00,2025-08-07 07:40:00,LONG,114514.7,114700.2,23,0.002479517476795556,10.378670995489582,8381.90344758438,trailing_stop
