entry_time,exit_time,side,entry_price,exit_price,position_value,pnl_pct,pnl_net,exit_reason,hold_candles
2025-10-22 21:00:00,2025-10-23 07:05:00,LONG,107250.6,109928.3,205667.8861172547,0.0998670403708696,20436.60914280466,Max Hold (120 candles),120
2025-10-24 19:45:00,2025-10-24 19:50:00,LONG,110610.4,110600.5,198413.35996539737,-0.000358013351366388,-170.2413119397761,ML Exit (0.765),0
2025-10-24 19:50:00,2025-10-24 19:55:00,LONG,110600.5,110565.7,205040.2857375847,-0.0012585838219538938,-360.5805293469201,ML Exit (0.764),0
2025-10-24 19:55:00,2025-10-24 20:00:00,LONG,110565.7,110487.7,194860.56712422383,-0.002821851623062125,-647.2978911724092,ML Exit (0.746),0
2025-10-25 10:15:00,2025-10-25 20:20:00,LONG,111468.0,111507.5,200360.75166968378,0.0014174471597229697,183.82040253931066,Max Hold (120 candles),120
2025-10-25 20:20:00,2025-10-26 06:25:00,LONG,111507.5,111580.3,214558.68851014477,0.0026114835324979185,453.037137543521,Max Hold (120 candles),120
2025-10-26 06:25:00,2025-10-26 09:45:00,LONG,111580.3,112363.3,229115.97647328302,0.028069471044619883,6316.606279239986,ML Exit (0.767),39
2025-10-29 18:45:00,2025-10-29 20:00:00,LONG,110212.6,110611.5,199377.79927986712,0.014477473537508204,2786.797913400965,ML Exit (0.750),14
2025-10-29 21:55:00,2025-10-30 00:10:00,SHORT,111564.8,110105.5,202132.5196978882,0.05232116223038101,10474.742095299951,ML Exit (0.706),26
2025-10-30 04:10:00,2025-10-30 04:25:00,LONG,109942.7,108294.0,209395.11218898662,-0.059983973469816446,-12665.048410347905,Stop Loss (-6.00%),2
2025-10-30 04:25:00,2025-10-30 05:35:00,LONG,108294.0,109326.8,199700.68608285594,0.03814800450625161,7518.332329548899,ML Exit (0.798),13
2025-10-30 05:50:00,2025-10-30 07:15:00,SHORT,110376.2,111484.5,206881.02236745623,-0.040164455743176626,-8412.704178164557,Stop Loss (-4.02%),16
2025-10-30 09:15:00,2025-10-30 12:20:00,LONG,110142.8,108939.9,201504.04862787493,-0.04368510697022442,-8903.477943555958,Stop Loss (-4.37%),36
2025-10-30 12:20:00,2025-10-30 13:35:00,LONG,108939.9,107779.0,203772.50703882368,-0.04262533745670757,-8787.758130448588,Stop Loss (-4.26%),14
2025-10-30 13:35:00,2025-10-30 14:50:00,LONG,107779.0,108224.4,200280.4492003782,0.01653012182336055,3210.519999519437,ML Exit (0.753),14
2025-10-30 17:10:00,2025-10-30 19:35:00,LONG,107452.8,106533.8,195655.8261785937,-0.03421036957622323,-6791.28603640028,Stop Loss (-3.42%),28
2025-10-30 19:35:00,2025-10-31 02:00:00,LONG,106533.8,109478.4,191809.33477028992,0.11056021656976438,21110.576924920544,ML Exit (0.752),76
2025-10-31 18:45:00,2025-11-01 04:00:00,LONG,109366.9,110315.5,199839.49760124867,0.03469422649814545,6833.357044252692,ML Exit (0.766),110
2025-11-01 19:40:00,2025-11-02 05:45:00,LONG,110236.1,110321.0,203621.33217553675,0.003080660509578774,525.4775308532295,Max Hold (120 candles),120
2025-11-02 17:30:00,2025-11-02 23:50:00,LONG,109973.3,110588.9,204737.10612557002,0.02239088942497829,4481.877351384898,ML Exit (0.708),75
2025-11-02 23:50:00,2025-11-03 00:05:00,LONG,110588.9,110700.9,221085.98857059836,0.004051039480454187,785.0850739894379,ML Exit (0.726),2
2025-11-03 00:05:00,2025-11-03 00:10:00,LONG,110700.9,110632.4,209739.07179214116,-0.002475137961841322,-624.0026745701616,ML Exit (0.766),0
2025-11-03 00:10:00,2025-11-03 00:15:00,LONG,110632.4,110586.8,208567.05838423167,-0.0016487032731818626,-448.14872102811125,ML Exit (0.702),0
2025-11-03 00:20:00,2025-11-03 01:00:00,LONG,110451.6,109465.5,215709.4197965013,-0.03571156959247329,-7811.176666713042,Stop Loss (-3.57%),7
2025-11-03 01:00:00,2025-11-03 03:10:00,LONG,109465.5,108179.5,207615.09685237645,-0.04699197464041182,-9860.050914679707,Stop Loss (-4.70%),25
2025-11-03 03:10:00,2025-11-03 06:10:00,LONG,108179.5,107303.0,193682.81500055405,-0.03240909784201258,-6373.926709169656,Stop Loss (-3.24%),35
2025-11-03 06:10:00,2025-11-03 15:25:00,LONG,107303.0,105915.1,187972.5167260627,-0.05173760286292067,-9819.233677879776,Stop Loss (-5.17%),110
2025-11-03 15:25:00,2025-11-03 16:40:00,LONG,105915.1,106416.7,184802.21298157348,0.018943474537624617,3408.394909622332,End of Period,15
