entry_idx,entry_time,entry_price,exit_idx,exit_time,exit_price,side,entry_prob,position_size_pct,hold_time,exit_reason,pnl_pct,balance_before,balance_after
25869,2025-10-12 10:05:00,111742.9,25887,2025-10-12 11:35:00,111946.9,LONG,0.94802564,0.7287293,18,ml_exit,0.002406612057103835,2.4320671407249477,2.4379201828295023
25881,2025-10-12 11:05:00,111751.9,25887,2025-10-12 11:35:00,111946.9,LONG,0.9080464,0.57698864,6,ml_exit,0.0017192802194533191,2.4379201828295023,2.442111650776447
25887,2025-10-12 11:35:00,111946.9,25892,2025-10-12 12:00:00,111959.2,LONG,0.8618232,0.4243619,5,ml_exit,-0.001510943107764629,2.442111650776447,2.438421759009315
25888,2025-10-12 11:40:00,111904.4,25892,2025-10-12 12:00:00,111959.2,LONG,0.95178354,0.7438509,4,ml_exit,-0.0015183373873206628,2.438421759009315,2.434719412086555
25889,2025-10-12 11:45:00,111892.7,25892,2025-10-12 12:00:00,111959.2,LONG,0.77340394,0.2214825,3,ml_exit,-0.0003594046330974901,2.434719412086555,2.4338443626495585
25892,2025-10-12 12:00:00,111959.2,25893,2025-10-12 12:05:00,112043.0,LONG,0.8357938,0.35077697,1,ml_exit,-0.0003528999444264215,2.4338443626495585,2.432985459109237
25893,2025-10-12 12:05:00,112043.0,25923,2025-10-12 14:35:00,111195.5,LONG,0.8421748,0.36790738,30,stop_loss,-0.012603123672981423,2.432985459109237,2.4023222424735176
25894,2025-10-12 12:10:00,112052.1,25923,2025-10-12 14:35:00,111195.5,LONG,0.89564925,0.53351367,29,stop_loss,-0.018448173025725795,2.4023222424735176,2.3580037860808165
25895,2025-10-12 12:15:00,111944.0,25925,2025-10-12 14:45:00,112010.4,LONG,0.80190456,0.27095115,30,ml_exit,-0.0004409418730708059,2.3580037860808165,2.356964043474674
25897,2025-10-12 12:25:00,111934.6,25925,2025-10-12 14:45:00,112010.4,LONG,0.7989967,0.26507306,28,ml_exit,-0.00034228233377811443,2.356964043474674,2.3561572963212427
25925,2025-10-12 14:45:00,112010.4,25926,2025-10-12 14:50:00,112900.0,LONG,0.8939977,0.5278572,1,ml_exit,0.014657790950932245,2.3561572963212427,2.3906933574182334
26007,2025-10-12 21:35:00,114560.9,26039,2025-10-13 00:15:00,115609.0,SHORT,0.78572875,0.2405208,32,stop_loss,-0.009764034177458086,2.3906933574182334,2.3673505457685797
26039,2025-10-13 00:15:00,115609.0,26051,2025-10-13 01:15:00,115330.7,LONG,0.7593011,0.20538214,12,ml_exit,-0.002799154833645292,2.3673505457685797,2.360723965045459
26040,2025-10-13 00:20:00,115298.6,26051,2025-10-13 01:15:00,115330.7,LONG,0.8353428,0.3495897,11,ml_exit,-0.001009045177280156,2.360723965045459,2.35834188791364
26041,2025-10-13 00:25:00,115156.9,26051,2025-10-13 01:15:00,115330.7,LONG,0.84314567,0.37056708,10,ml_exit,0.0007548380522962133,2.35834188791364,2.3601220541109615
26052,2025-10-13 01:20:00,115479.8,26054,2025-10-13 01:30:00,115684.9,LONG,0.77798706,0.2280923,2,ml_exit,0.0007080607121695438,2.3601220541109615,2.3617931638134024
26063,2025-10-13 02:15:00,115012.7,26078,2025-10-13 03:30:00,114852.0,SHORT,0.775788,0.22484723,15,ml_exit,0.0003572705528840068,2.3617931638134024,2.362636962962836
