window,total_trades,long_trades,short_trades,return_pct,final_capital,win_rate,ml_exit_rate,avg_hold_time
100,7,3,4,9.356978325190738,10935.697832519074,71.42857142857143,42.857142857142854,49.285714285714285
101,7,3,4,9.154268522387666,10915.426852238767,71.42857142857143,57.14285714285714,37.285714285714285
102,7,3,4,19.141313418900534,11914.131341890054,71.42857142857143,57.14285714285714,37.42857142857143
103,5,2,3,22.781011317378834,12278.101131737883,80.0,80.0,27.4
104,5,2,3,22.781011317378834,12278.101131737883,80.0,80.0,27.4
105,3,2,1,22.00400106984509,12200.400106984509,100.0,66.66666666666666,61.0
106,3,2,1,13.948313310096475,11394.831331009647,100.0,66.66666666666666,56.0
107,4,3,1,2.0756963513811755,10207.569635138118,50.0,50.0,38.5
108,5,4,1,11.101049286238394,11110.10492862384,60.0,40.0,54.8
109,4,3,1,7.5385086257900555,10753.850862579005,50.0,50.0,38.5
