entry_time,exit_time,side,entry_price,exit_price,position_size_pct,pnl_pct,pnl_usd,exit_reason,hold_time
2025-07-17 17:00:00,2025-07-17 17:05:00,LONG,118771.1,118972.2,0.7025596499443054,0.6772691336528541,116.31245032402019,ML_EXIT,1
2025-07-17 17:05:00,2025-07-17 17:10:00,LONG,118972.2,118934.9,0.5733279585838318,-0.12540744812654692,-17.659147644072963,ML_EXIT,1
2025-07-17 17:10:00,2025-07-17 17:15:00,LONG,118934.9,118815.3,0.5903474688529968,-0.4022368539427578,-58.280126075202915,ML_EXIT,1
2025-07-17 17:15:00,2025-07-17 17:20:00,LONG,118815.3,118771.0,0.7044501900672913,-0.14913904185741367,-25.724092182852555,ML_EXIT,1
2025-07-17 17:20:00,2025-07-17 17:25:00,LONG,118771.0,118734.2,0.7799165844917297,-0.1239359776376486,-23.64217655631309,ML_EXIT,1
2025-07-17 17:25:00,2025-07-17 17:30:00,LONG,118734.2,118788.2,0.7834609150886536,0.181918941636024,34.8270884731551,ML_EXIT,1
2025-07-17 17:30:00,2025-07-17 17:35:00,LONG,118788.2,118576.8,0.5268794894218445,-0.7118552179425033,-91.77902121154966,ML_EXIT,1
2025-07-17 17:35:00,2025-07-17 17:40:00,LONG,118576.8,118687.1,0.95,0.3720795298911858,86.17234352299269,ML_EXIT,1
2025-07-17 17:40:00,2025-07-17 17:45:00,LONG,118687.1,119102.1,0.522764265537262,1.3986355720208852,178.8757227891992,ML_EXIT,1
2025-07-17 17:55:00,2025-07-17 20:05:00,SHORT,119302.0,118506.4,0.95,2.6675160517007455,624.5042622597329,ML_EXIT,26
2025-07-17 20:05:00,2025-07-17 20:15:00,LONG,118506.4,118882.3,0.95,1.2687922340059565,304.57017391610856,ML_EXIT,2
2025-07-17 20:15:00,2025-07-17 20:20:00,LONG,118882.3,118937.0,0.95,0.18404758319782538,44.71265522444576,ML_EXIT,1
2025-07-17 20:20:00,2025-07-17 20:25:00,LONG,118937.0,119056.4,0.95,0.40155712688227946,97.72515325093146,ML_EXIT,1
2025-07-17 20:25:00,2025-07-17 20:30:00,LONG,119056.4,119093.4,0.95,0.12431083083311775,30.368377012064958,ML_EXIT,1
2025-07-17 20:30:00,2025-07-17 20:35:00,LONG,119093.4,119367.2,0.95,0.91961435310438,224.92148025694854,ML_EXIT,1
2025-07-17 20:35:00,2025-07-17 20:40:00,LONG,119367.2,119266.5,0.95,-0.33744613260593226,-83.25442243346458,ML_EXIT,1
2025-07-17 20:40:00,2025-07-17 20:45:00,LONG,119266.5,119269.5,0.95,0.010061500924400398,2.4744071264231597,ML_EXIT,1
2025-07-17 20:45:00,2025-07-17 20:50:00,LONG,119269.5,119209.8,0.6359177231788635,-0.2002188321406465,-32.96341086724773,ML_EXIT,1
2025-07-17 20:50:00,2025-07-17 20:55:00,LONG,119209.8,119468.4,0.806284487247467,0.8677138960051648,180.89969709496978,ML_EXIT,1
2025-07-17 20:55:00,2025-07-17 21:15:00,SHORT,119468.4,120544.8,0.45769476890563965,-3.6039655674638946,-429.49431029348074,STOP_LOSS,4
2025-07-17 21:15:00,2025-07-17 23:15:00,SHORT,120544.8,119503.9,0.95,3.453985572169048,840.2750301816941,ML_EXIT,24
2025-07-18 01:35:00,2025-07-18 04:05:00,SHORT,120544.6,119927.6,0.4626586437225342,2.047374996474334,250.52844764997653,ML_EXIT,30
2025-07-18 04:25:00,2025-07-18 08:35:00,SHORT,120106.9,118622.6,0.6483913660049438,4.943263043172336,855.7449540800237,ML_EXIT,50
2025-07-18 10:40:00,2025-07-18 14:15:00,SHORT,118964.4,118355.1,0.5442711114883423,2.0486801093435965,307.2446201624672,ML_EXIT,43
2025-07-18 14:15:00,2025-07-18 20:20:00,SHORT,118355.1,117075.3,0.95,4.325288897563359,1144.8519419391548,ML_EXIT,73
2025-07-18 20:30:00,2025-07-18 21:00:00,LONG,116835.1,117549.9,0.479825496673584,2.447209785415473,340.60694454665094,ML_EXIT,6
2025-07-18 23:00:00,2025-07-19 01:20:00,LONG,117566.3,118024.8,0.5721651911735535,1.5599708419844802,261.9430100628939,ML_EXIT,28
2025-07-20 13:05:00,2025-07-20 17:50:00,SHORT,118159.7,118079.5,0.5764833688735962,0.27149696554746533,46.342537353967906,ML_EXIT,57
2025-07-20 17:50:00,2025-07-20 17:55:00,SHORT,118079.5,118043.9,0.8814355134963989,0.12059671661890783,31.523415935539713,ML_EXIT,1
2025-07-20 17:55:00,2025-07-20 22:05:00,SHORT,118043.9,117418.6,0.8582413792610168,2.1188727244694165,539.8622575375878,ML_EXIT,50
2025-07-20 22:10:00,2025-07-21 01:00:00,LONG,116935.1,117330.9,0.9380348324775696,1.35391341008812,383.8885990176684,ML_EXIT,34
2025-07-21 01:10:00,2025-07-21 01:15:00,LONG,117174.0,117173.5,0.5794758200645447,-0.0017068632973185178,-0.3027682318029947,ML_EXIT,1
2025-07-21 01:20:00,2025-07-21 01:25:00,LONG,117146.7,117143.1,0.7939631342887878,-0.012292279680063608,-2.9874780346001653,ML_EXIT,1
2025-07-21 01:25:00,2025-07-21 01:50:00,LONG,117143.1,117152.7,0.7226511836051941,0.032780419845441236,7.250580734777129,ML_EXIT,5
2025-07-21 01:50:00,2025-07-21 01:55:00,LONG,117152.7,117312.9,0.5095282793045044,0.5469784307147751,85.32394429020145,ML_EXIT,1
2025-07-21 06:15:00,2025-07-21 07:20:00,SHORT,118589.7,119500.8,0.43554869294166565,-3.0731168052537643,-410.91965191134466,STOP_LOSS,13
